"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should read a numeric Retry-After header","","Wed Sep 02 15:32:27 UTC 2026","passed","Wed Sep 02 15:32:27 UTC 2026","","__tests__/modules/auth","",""
"","0","should not report Other when the attribute does not allow custom values","","Wed Sep 02 15:32:27 UTC 2026","passed","Wed Sep 02 15:32:27 UTC 2026","","__tests__/utils","",""
"","0","should select the matching option when the stored value is predefined","","Wed Sep 02 15:32:27 UTC 2026","passed","Wed Sep 02 15:32:27 UTC 2026","","__tests__/utils","",""
"","1","should upper-case and strip spaces","","Wed Sep 02 15:32:28 UTC 2026","passed","Wed Sep 02 15:32:28 UTC 2026","","__tests__/utils","",""
"","1","passes a single gender as string","","Wed Sep 02 15:32:33 UTC 2026","passed","Wed Sep 02 15:32:33 UTC 2026","","__tests__/modules/product","",""
"","0","should not carry an invalid number into Saudi Arabia when switching back","","Wed Sep 02 15:32:26 UTC 2026","passed","Wed Sep 02 15:32:26 UTC 2026","","__tests__/utils","",""
"","1","should resolve the dial code for PK","","Wed Sep 02 15:32:26 UTC 2026","passed","Wed Sep 02 15:32:26 UTC 2026","","__tests__/utils","",""
"Fresh-install (deferred) deep link scenarios.

These cover the one launch that cannot be re-run by hand on a device without
uninstalling first: the first open after a store install, where the deep link
arrives from cached install attribution rather than an inbound URL.

Each `launch()` uses jest.resetModules() to reset module-level state the way a
cold start does, while AsyncStorage contents survive — exactly like a real
app relaunch.","5","navigates only once even though polling continues","","Wed Sep 02 15:32:27 UTC 2026","passed","Wed Sep 02 15:32:27 UTC 2026","","__tests__/services/deeplink","",""
"","0","is flat for missing / invalid values","","Wed Sep 02 15:32:30 UTC 2026","passed","Wed Sep 02 15:32:30 UTC 2026","resolveTrendDirection","src/modules/market/__tests__","",""
"","0","should send the custom value entered under Other","","Wed Sep 02 15:32:27 UTC 2026","passed","Wed Sep 02 15:32:27 UTC 2026","","__tests__/utils","",""
"","0","should reject a number longer than 9 digits","","Wed Sep 02 15:32:26 UTC 2026","passed","Wed Sep 02 15:32:26 UTC 2026","","__tests__/utils","",""
"","1","should produce a placeholder mask in the existing Saudi style","","Wed Sep 02 15:32:26 UTC 2026","passed","Wed Sep 02 15:32:26 UTC 2026","","__tests__/utils","",""
"","0","syncs verified status from profile when auth is stale","","Wed Sep 02 15:32:32 UTC 2026","passed","Wed Sep 02 15:32:32 UTC 2026","","__tests__/utils","",""
"","1","should fall back to amount when the source currency is already SAR","","Wed Sep 02 15:32:28 UTC 2026","passed","Wed Sep 02 15:32:28 UTC 2026","","__tests__/modules/listing","",""
"","3","should default to Saudi Arabia","","Wed Sep 02 15:32:26 UTC 2026","passed","Wed Sep 02 15:32:26 UTC 2026","","__tests__/utils","",""
"","1","starts in IDLE with no active session","","Wed Sep 02 15:32:29 UTC 2026","passed","Wed Sep 02 15:32:29 UTC 2026","","__tests__/modules/checkout","",""
"","1","derives search query and brand ids from filters","","Wed Sep 02 15:32:30 UTC 2026","passed","Wed Sep 02 15:32:30 UTC 2026","","__tests__/modules/product","",""
"","1","should clear the selection when selectExample is dispatched with null","","Wed Sep 02 15:32:29 UTC 2026","passed","Wed Sep 02 15:32:29 UTC 2026","","src/modules/_example/__tests__","",""
"","0","should return the selected id","","Wed Sep 02 15:32:29 UTC 2026","passed","Wed Sep 02 15:32:29 UTC 2026","","src/modules/_example/__tests__","",""
"","0","should report nothing selected when there is no stored value","","Wed Sep 02 15:32:27 UTC 2026","passed","Wed Sep 02 15:32:27 UTC 2026","","__tests__/utils","",""
"","2","returns model when backing out of details","","Wed Sep 02 15:32:32 UTC 2026","passed","Wed Sep 02 15:32:32 UTC 2026","","__tests__/modules/listing","",""
