"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4","should be false for DROPDOWN and BOOLEAN","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/utils","",""
"","0","keeps only pagination and sorting","","Thu Sep 10 09:20:17 UTC 2026","passed","Thu Sep 10 09:20:17 UTC 2026","clearFilters","__tests__/modules/product","",""
"","1","should not apply the Saudi 9-digit limit to other countries","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","1","should leave cities DHL already accepts untouched","","Thu Sep 10 09:20:16 UTC 2026","passed","Thu Sep 10 09:20:16 UTC 2026","","__tests__/utils","",""
"","2","weights each step by its declared share","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","percentage reflects real weighted work","__tests__/shared","",""
"","1","does not overwrite verified auth status when profile omits sellerVerifyStatus","","Thu Sep 10 09:20:20 UTC 2026","passed","Thu Sep 10 09:20:20 UTC 2026","","__tests__/utils","",""
"","0","counts wizard and stepper steps for an early draft","","Thu Sep 10 09:20:17 UTC 2026","passed","Thu Sep 10 09:20:17 UTC 2026","","__tests__/modules/listing","",""
"","0","should merge partial filters when setFilters is dispatched","","Thu Sep 10 09:20:17 UTC 2026","passed","Thu Sep 10 09:20:17 UTC 2026","","src/modules/_example/__tests__","",""
"","0","returns exit for the first step","","Thu Sep 10 09:20:20 UTC 2026","passed","Thu Sep 10 09:20:20 UTC 2026","","__tests__/modules/listing","",""
"","1","resetPaymentState preserves pendingRecovery","","Thu Sep 10 09:20:17 UTC 2026","passed","Thu Sep 10 09:20:17 UTC 2026","","__tests__/modules/checkout","",""
"","0","should split the code off a real Google SA address","","Thu Sep 10 09:20:16 UTC 2026","passed","Thu Sep 10 09:20:16 UTC 2026","","__tests__/utils","",""
"","1","clamps out-of-range fractions","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","percentage reflects real weighted work","__tests__/shared","",""
"","1","returns false for an empty draft","","Thu Sep 10 09:20:17 UTC 2026","passed","Thu Sep 10 09:20:17 UTC 2026","","__tests__/modules/listing","",""
"","0","should prefer the API message","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/modules/auth","",""
"","0","computes resume route from draft completion","","Thu Sep 10 09:20:18 UTC 2026","passed","Thu Sep 10 09:20:18 UTC 2026","","__tests__/modules/listing","",""
"","1","should accept a valid PK number and format it to E.164","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","0","should re-apply Saudi rules when switching back from another country","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","1","dispatches logout, purges persist, rehydrates theme, then persists","","Thu Sep 10 09:20:18 UTC 2026","passed","Thu Sep 10 09:20:18 UTC 2026","","__tests__/modules/auth","",""
"","0","produces roughly the requested number of ticks","","Thu Sep 10 09:20:16 UTC 2026","passed","Thu Sep 10 09:20:16 UTC 2026","buildYScale","__tests__/modules/product","",""
"","0","should reject an empty number","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","0","should trim surrounding whitespace","","Thu Sep 10 09:20:16 UTC 2026","passed","Thu Sep 10 09:20:16 UTC 2026","","__tests__/utils","",""
"","0","holds each value until the next date, then jumps","","Thu Sep 10 09:20:16 UTC 2026","passed","Thu Sep 10 09:20:16 UTC 2026","stepForward","__tests__/modules/product","",""
"","0","should prefer backend options over the configured preset","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/utils","",""
"","1","detects active filters excluding mode and sections","","Thu Sep 10 09:20:18 UTC 2026","passed","Thu Sep 10 09:20:18 UTC 2026","","__tests__/modules/product","",""
"","1","returns defaults for pagination and sorting","","Thu Sep 10 09:20:17 UTC 2026","passed","Thu Sep 10 09:20:17 UTC 2026","createEmptyFilter","__tests__/modules/product","",""
"","2","returns indices that address real points","","Thu Sep 10 09:20:16 UTC 2026","passed","Thu Sep 10 09:20:16 UTC 2026","buildDateTicks","__tests__/modules/product","",""
"","0","should fall back to a default wait when Retry-After is missing","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/modules/auth","",""
"","1","should send a signup on an existing phone to login","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/modules/auth","",""
"","0","syncs verified status from profile when auth is stale","","Thu Sep 10 09:20:20 UTC 2026","passed","Thu Sep 10 09:20:20 UTC 2026","","__tests__/utils","",""
"","1","should never send the word Other as the value","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/utils","",""
"Fresh-install (deferred) deep link scenarios.

These cover the one launch that cannot be re-run by hand on a device without
uninstalling first: the first open after a store install, where the deep link
arrives from cached install attribution rather than an inbound URL.

Each `launch()` uses jest.resetModules() to reset module-level state the way a
cold start does, while AsyncStorage contents survive — exactly like a real
app relaunch.","7","drops the code after the app is killed, leaving normal signup only","","Thu Sep 10 09:20:14 UTC 2026","passed","Thu Sep 10 09:20:14 UTC 2026","","__tests__/services/deeplink","",""
"","1","should treat a wrong code as retryable","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/modules/auth","",""
"","1","should preserve a valid status","","Thu Sep 10 09:20:18 UTC 2026","passed","Thu Sep 10 09:20:18 UTC 2026","","src/modules/_example/__tests__","",""
"","1","should reject an empty number","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","0","advances saved last route when moving forward","","Thu Sep 10 09:20:18 UTC 2026","passed","Thu Sep 10 09:20:18 UTC 2026","","__tests__/modules/listing","",""
"","1","should keep the Saudi input limit at 9 digits","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","1","should handle empty and missing input","","Thu Sep 10 09:20:16 UTC 2026","passed","Thu Sep 10 09:20:16 UTC 2026","","__tests__/utils","",""
"","0","should never emit +966 for a valid EG number","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","0","should stay loading while both prices are missing","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/modules/listing","",""
"","0","should report active filters when a search term is present","","Thu Sep 10 09:20:17 UTC 2026","passed","Thu Sep 10 09:20:17 UTC 2026","","src/modules/_example/__tests__","",""
"Fresh-install (deferred) deep link scenarios.

These cover the one launch that cannot be re-run by hand on a device without
uninstalling first: the first open after a store install, where the deep link
arrives from cached install attribution rather than an inbound URL.

Each `launch()` uses jest.resetModules() to reset module-level state the way a
cold start does, while AsyncStorage contents survive — exactly like a real
app relaunch.","7","stops polling and navigates nothing for an organic install","","Thu Sep 10 09:20:14 UTC 2026","passed","Thu Sep 10 09:20:14 UTC 2026","","__tests__/services/deeplink","",""
"Fresh-install (deferred) deep link scenarios.

These cover the one launch that cannot be re-run by hand on a device without
uninstalling first: the first open after a store install, where the deep link
arrives from cached install attribution rather than an inbound URL.

Each `launch()` uses jest.resetModules() to reset module-level state the way a
cold start does, while AsyncStorage contents survive — exactly like a real
app relaunch.","258","routes to product detail when attribution lands after several seconds","","Thu Sep 10 09:20:14 UTC 2026","passed","Thu Sep 10 09:20:14 UTC 2026","","__tests__/services/deeplink","",""
"","4","labels each month over a 6M range, skipping the partial first month","","Thu Sep 10 09:20:16 UTC 2026","passed","Thu Sep 10 09:20:16 UTC 2026","buildDateTicks","__tests__/modules/product","",""
"","1","should omit the attribute when nothing was selected","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/utils","",""
"","1","should read a status nested under data","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/modules/auth","",""
"","1","should return undefined for an unknown country","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","1","should map Diriyah spelling variants","","Thu Sep 10 09:20:16 UTC 2026","passed","Thu Sep 10 09:20:16 UTC 2026","","__tests__/utils","",""
"","3","should accept a 9-digit number starting with 5","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","2","returns a new object without mutating the source","","Thu Sep 10 09:20:21 UTC 2026","passed","Thu Sep 10 09:20:21 UTC 2026","","__tests__/modules/cart","",""
"","0","defaults to the 7d window","","Thu Sep 10 09:20:18 UTC 2026","passed","Thu Sep 10 09:20:18 UTC 2026","emptyMarketMovers","src/modules/market/__tests__","",""
"","0","should strip a national trunk prefix","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","0","should not report Other when the attribute does not allow custom values","","Thu Sep 10 09:20:15 UTC 2026","passed","Thu Sep 10 09:20:15 UTC 2026","","__tests__/utils","",""
"","1","should trim the title when it has surrounding whitespace","","Thu Sep 10 09:20:18 UTC 2026","passed","Thu Sep 10 09:20:18 UTC 2026","","src/modules/_example/__tests__","",""
"","2","should accept a valid US number and format it to E.164","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","1","should accept a valid GB number and format it to E.164","","Thu Sep 10 09:20:13 UTC 2026","passed","Thu Sep 10 09:20:13 UTC 2026","","__tests__/utils","",""
"","122660","login-success-buyer","E2E","Thu Sep 10 06:42:01 UTC 2026","passed","Thu Sep 10 06:44:04 UTC 2026","Test Suite","E2E (Maestro)","login-success-buyer",""
